cliente_id,edad,antiguedad_meses,saldo_promedio,num_productos,morosidad_dias,nps_score,nps_segmento,churn
10000,56,1,3060.08,1,0,8,Neutro,0
10001,69,10,502.19,4,0,5,Detractor,0
10002,46,36,11421.1,4,60,8,Neutro,0
10003,32,73,13699.63,1,0,10,Promotor,0
10004,60,109,19511.24,4,0,4,Detractor,0
10005,25,46,10145.75,2,0,7,Neutro,0
10006,38,106,955.57,2,0,2,Detractor,0
10007,56,32,236.49,3,15,5,Detractor,0
10008,36,32,4332.7,2,30,3,Detractor,1
10009,40,6,12186.59,4,15,7,Neutro,0
10010,28,48,976.13,1,0,9,Promotor,0
10011,28,38,35.34,3,0,8,Neutro,0
10012,41,17,8186.51,1,15,5,Detractor,1
10013,53,74,399.52,3,0,2,Detractor,1
10014,57,114,2669.67,3,60,8,Neutro,0
10015,41,27,5679.82,1,30,4,Detractor,1
10016,20,54,1351.16,2,0,6,Detractor,0
10017,39,50,438.49,2,0,7,Neutro,1
10018,19,35,7348.84,2,0,10,Promotor,0
10019,41,116,4973.63,2,60,3,Detractor,0
10020,61,85,22322.91,1,0,8,Neutro,0
10021,47,25,2110.32,4,30,0,Detractor,0
10022,55,28,318.76,3,0,8,Neutro,0
10023,19,111,6627.88,1,0,8,Neutro,0
10024,38,15,3687.94,2,0,9,Promotor,0
10025,50,4,1198.93,2,0,7,Neutro,1
10026,29,93,7610.09,1,30,6,Detractor,1
10027,39,73,1139.24,3,0,5,Detractor,0
10028,61,27,1510.0,1,0,3,Detractor,0
10029,42,26,485.47,1,15,7,Neutro,0
10030,66,19,2549.4,4,0,9,Promotor,0
10031,44,92,2714.41,1,0,7,Neutro,0
10032,59,17,3613.52,4,0,8,Neutro,0
10033,45,43,6171.55,3,0,6,Detractor,0
10034,33,41,11827.67,1,0,7,Neutro,0
10035,32,42,740.96,1,15,6,Detractor,1
10036,64,50,279.4,2,0,4,Detractor,1
10037,68,84,93.53,1,0,7,Neutro,0
10038,61,109,775.21,2,0,9,Promotor,0
10039,69,40,5363.98,2,0,6,Detractor,1
10040,20,39,6500.16,2,0,8,Neutro,0
10041,54,113,7720.73,3,0,9,Promotor,0
10042,68,117,1396.64,4,15,6,Detractor,0
10043,24,23,1825.66,2,0,9,Promotor,0
10044,38,111,3299.86,1,0,6,Detractor,0
10045,26,96,326.34,1,0,6,Detractor,1
10046,56,52,4722.7,2,60,5,Detractor,1
10047,35,47,20593.71,2,0,5,Detractor,0
10048,21,63,2237.74,1,0,8,Neutro,0
10049,42,97,6988.75,2,0,9,Promotor,0
10050,31,110,3466.08,4,0,5,Detractor,0
10051,67,69,683.75,4,0,3,Detractor,0
10052,26,43,4364.21,3,30,6,Detractor,1
10053,43,48,1782.48,2,0,8,Neutro,0
10054,19,34,175.04,3,0,6,Detractor,0
10055,37,40,5038.33,3,0,7,Neutro,0
10056,45,75,9792.58,3,0,8,Neutro,0
10057,64,61,2113.84,2,0,7,Neutro,0
10058,24,50,2473.9,3,30,10,Promotor,0
10059,61,67,11083.03,4,60,6,Detractor,1
10060,25,62,8399.54,3,15,10,Promotor,0
10061,64,58,6275.5,4,60,5,Detractor,0
10062,52,33,1430.4,4,0,4,Detractor,0
10063,31,75,12051.78,2,0,9,Promotor,0
10064,34,16,838.64,3,0,8,Neutro,0
10065,53,82,4927.81,2,0,9,Promotor,0
10066,67,94,146.12,4,30,6,Detractor,1
10067,57,48,5160.19,1,90,10,Promotor,0
10068,21,119,1622.73,3,30,4,Detractor,0
10069,19,10,2986.25,2,0,1,Detractor,0
10070,23,82,2117.62,1,0,6,Detractor,1
10071,59,38,948.28,3,0,9,Promotor,0
10072,21,19,4864.05,3,0,8,Neutro,0
10073,46,36,10684.32,2,0,7,Neutro,0
10074,35,59,15981.2,1,0,6,Detractor,0
10075,43,63,1068.11,2,60,2,Detractor,0
10076,61,77,6318.13,3,30,6,Detractor,0
10077,51,46,5458.27,3,0,7,Neutro,0
10078,27,3,2103.23,4,0,8,Neutro,0
10079,53,74,96.42,3,0,8,Neutro,0
10080,31,102,5852.55,3,0,10,Promotor,0
10081,48,65,14547.3,1,15,4,Detractor,1
10082,65,119,4999.99,1,0,6,Detractor,0
10083,32,91,2857.24,4,0,7,Neutro,0
10084,25,110,3723.82,4,0,8,Neutro,0
10085,31,8,1113.4,4,0,7,Neutro,0
10086,40,51,6942.37,2,30,10,Promotor,0
10087,57,110,6860.38,2,0,8,Neutro,0
10088,38,106,786.3,4,30,1,Detractor,1
10089,33,81,10517.79,2,0,4,Detractor,0
10090,62,73,1568.01,3,15,9,Promotor,0
10091,35,6,20158.56,4,0,8,Neutro,0
10092,64,107,2413.65,4,0,5,Detractor,0
10093,41,89,979.37,2,0,2,Detractor,1
10094,43,39,2167.16,1,0,8,Neutro,0
10095,42,113,2900.7,4,15,8,Neutro,0
10096,62,60,359.13,2,0,4,Detractor,1
10097,58,28,4316.34,2,30,7,Neutro,0
10098,46,97,4551.95,1,0,6,Detractor,0
10099,32,54,6714.84,4,30,10,Promotor,0
10100,62,37,148.02,1,0,5,Detractor,1
10101,18,9,3896.12,3,30,8,Neutro,0
10102,42,82,271.79,1,60,7,Neutro,1
10103,24,56,6038.97,1,0,0,Detractor,1
10104,26,59,286.71,2,0,7,Neutro,1
10105,41,85,12136.65,1,0,3,Detractor,1
10106,18,2,6054.69,3,0,8,Neutro,0
10107,61,61,3540.19,2,0,8,Neutro,0
10108,25,58,2912.54,3,0,0,Detractor,1
10109,41,107,700.18,1,30,5,Detractor,0
10110,28,60,1719.49,3,30,9,Promotor,0
10111,68,102,10161.23,3,15,6,Detractor,0
10112,34,40,11740.68,1,0,7,Neutro,0
10113,25,36,3.74,1,15,6,Detractor,0
10114,52,114,4508.69,2,0,10,Promotor,1
10115,52,107,6352.35,2,0,7,Neutro,0
10116,50,37,4821.46,4,0,8,Neutro,0
10117,22,79,426.05,2,60,3,Detractor,1
10118,59,92,1227.74,1,15,2,Detractor,1
10119,56,18,1440.68,3,0,6,Detractor,0
10120,58,98,8910.77,3,15,6,Detractor,1
10121,45,63,3110.64,2,0,8,Neutro,0
10122,24,22,3335.72,2,15,8,Neutro,0
10123,26,11,13658.62,1,0,6,Detractor,0
10124,25,58,5067.95,3,0,8,Neutro,0
10125,29,57,11446.75,4,0,5,Detractor,1
10126,51,77,3048.71,4,0,2,Detractor,0
10127,50,4,809.28,2,0,9,Promotor,0
10128,65,86,13291.7,4,0,8,Neutro,0
10129,40,7,3068.96,1,0,8,Neutro,0
10130,41,61,1002.21,4,15,6,Detractor,0
10131,54,107,1800.52,2,30,6,Detractor,0
10132,52,54,260.69,1,0,3,Detractor,0
10133,61,88,3158.38,3,90,9,Promotor,0
10134,57,68,9590.97,1,0,8,Neutro,0
10135,39,92,13558.82,2,15,3,Detractor,1
10136,44,79,13485.72,2,0,9,Promotor,0
10137,52,1,668.97,4,0,7,Neutro,0
10138,18,55,2406.77,4,0,9,Promotor,0
10139,52,3,143.17,3,15,0,Detractor,1
10140,54,78,9660.81,3,0,1,Detractor,0
10141,64,38,2221.72,2,15,5,Detractor,1
10142,31,114,4986.38,2,0,5,Detractor,0
10143,20,1,6274.55,2,0,9,Promotor,1
10144,18,102,2809.23,3,0,8,Neutro,0
10145,22,38,1829.6,2,15,8,Neutro,0
10146,43,85,16378.94,3,0,9,Promotor,0
10147,31,112,16689.45,2,15,5,Detractor,0
10148,56,29,1708.48,1,0,10,Promotor,1
10149,44,5,3266.03,1,15,10,Promotor,0
10150,26,113,18030.82,2,0,7,Neutro,0
10151,32,74,24.4,1,0,3,Detractor,1
10152,32,92,2660.91,3,0,8,Neutro,0
10153,43,21,529.35,4,0,6,Detractor,0
10154,59,114,3558.16,1,0,9,Promotor,0
10155,30,71,124.9,4,60,5,Detractor,0
10156,68,67,2611.95,1,0,7,Neutro,0
10157,49,109,1246.79,3,0,7,Neutro,0
10158,56,47,3810.43,1,0,4,Detractor,0
10159,66,84,27599.37,1,0,6,Detractor,0
10160,69,83,8060.61,2,0,3,Detractor,1
10161,49,35,9342.41,4,0,7,Neutro,0
10162,21,68,5042.92,4,15,9,Promotor,0
10163,47,69,212.24,3,0,6,Detractor,0
10164,54,1,1158.38,3,15,9,Promotor,0
10165,40,68,12955.64,4,0,5,Detractor,1
10166,56,12,2279.42,2,0,8,Neutro,0
10167,62,60,547.05,2,0,10,Promotor,0
10168,32,27,6060.12,4,15,6,Detractor,0
10169,60,56,1779.5,1,0,10,Promotor,0
10170,46,106,1565.73,4,30,7,Neutro,0
10171,53,23,31016.99,1,0,6,Detractor,0
10172,30,25,9764.54,4,15,9,Promotor,0
10173,49,21,2620.72,1,0,1,Detractor,0
10174,24,61,19625.85,2,0,1,Detractor,1
10175,68,63,5250.73,4,0,8,Neutro,0
10176,39,52,6774.41,3,0,9,Promotor,0
10177,45,88,160.1,1,0,9,Promotor,0
10178,19,25,648.3,2,0,3,Detractor,0
10179,59,109,5013.13,3,15,10,Promotor,0
10180,62,55,11464.36,2,0,8,Neutro,0
10181,23,46,4887.42,1,0,10,Promotor,0
10182,45,32,719.5,4,0,6,Detractor,0
10183,45,55,615.13,2,0,8,Neutro,1
